Codigo Articulo,cuadrante,clase_abc,nivel_servicio,stock_actual,rop,demanda_esperada_lt,ss_empirico,mu_incondicional,mu_sba,adi,cv2,n_pos,n_semanas_historia,weeks_history,cajas_a_pedir,unidades_a_pedir,cbm_total_pedido,inversion_fob_usd,costo_final,cantidad_por_caja,CBMM,estado,requiere_pedido
MASS3063,erratic,AA,0.97,0.0,50500.11995292235,38657.99999999999,11842.119952922358,2577.1999999999994,2577.1999999999994,1.231,1.6373,13,16,14.857142857142858,4126,4126,206.3,4126.0,1.0,1.0,0.05,REORDENAR,True
MASS0927,erratic,AA,0.97,7.0,3724.8288819095337,2232.5191489361705,1492.3097329733632,148.83460992907803,148.83460992907803,1.294,1.137,109,141,140.42857142857142,35,2100,0.9528749999999999,2436.0,1.16,60.0,0.027225,REORDENAR,True
MASS0518,lumpy,AA,0.97,1.0,2246.3,1203.2913669064749,1043.008633093525,80.21942446043165,80.21942446043165,1.655,1.0403,84,139,138.14285714285714,4,1200,0.232128,1032.0,0.86,300.0,0.058032,REORDENAR,True
MASS0722,erratic,AA,0.97,0.0,2253.206081820877,1550.8186813186812,702.3874005021959,103.38791208791208,103.38791208791208,1.0,0.8027,91,91,89.85714285714286,827,827,41.35,827.0,1.0,1.0,0.05,REORDENAR,True
MASS0040,erratic,AA,0.97,4.0,1607.149941353795,777.7816901408451,829.36825121295,51.852112676056336,51.852112676056336,1.279,2.412,111,142,141.42857142857142,10,1000,0.5,1850.0,1.85,100.0,0.05,REORDENAR,True
MASS1575,lumpy,AA,0.97,3900.0,2584.0000000000014,822.9761904761905,1761.023809523811,54.86507936507937,54.86507936507937,2.25,2.7252,56,126,125.71428571428571,0,0,0.0,0.0,1.0,1.0,0.05,OK,False
MASS1983,lumpy,AA,0.97,57.0,1680.5999999999995,912.4177215189869,768.1822784810124,60.82784810126579,60.82784810126579,1.756,4.2879,45,79,78.28571428571429,33,792,0.5288456250000001,712.8000000000001,0.9,24.0,0.016025625,REORDENAR,True
MASS2072,lumpy,AA,0.97,4681.0,1395.4099999999999,1308.1470588235293,87.26294117647063,87.20980392156862,87.20980392156862,1.5,2.917,34,51,50.42857142857143,0,0,0.0,0.0,0.01,2.0,0.05,OK,False
MASS1061,lumpy,AA,0.97,331.0,745.1999999999999,408.0105633802816,337.1894366197183,27.20070422535211,27.20070422535211,1.511,2.1736,94,142,141.42857142857142,18,360,1.151334,892.8,2.48,20.0,0.063963,REORDENAR,True
MASS1418,lumpy,AA,0.97,18.0,612.0,382.4565217391304,229.54347826086962,25.49710144927536,25.49710144927536,1.725,1.9455,80,138,136.85714285714286,4,400,0.2,156.0,0.39,100.0,0.05,REORDENAR,True
MASS0274,lumpy,AA,0.97,1.0,828.9000000000001,401.4928057553957,427.4071942446044,26.76618705035971,26.76618705035971,1.527,1.3682,91,139,138.14285714285714,4,400,0.27824,320.0,0.8,100.0,0.06956,REORDENAR,True
MASS1417,lumpy,AA,0.97,9.0,564.3,347.95652173913044,216.34347826086952,23.19710144927536,23.19710144927536,1.84,2.2019,75,138,137.42857142857142,4,400,0.2,156.0,0.39,100.0,0.05,REORDENAR,True
MASS0422,lumpy,AA,0.97,2.0,574.3,336.65492957746477,237.64507042253524,22.443661971830984,22.443661971830984,1.434,1.5453,99,142,141.14285714285714,3,300,0.202272,420.0,1.4,100.0,0.067424,REORDENAR,True
MASS0634,lumpy,AA,0.97,1.0,467.9,271.3996478873239,196.50035211267607,18.093309859154928,18.093309859154928,1.578,3.6709,90,142,141.28571428571428,3,300,0.160218,540.0,1.8,100.0,0.053406,REORDENAR,True
MASS0889,lumpy,AA,0.97,0.0,808.9,322.2042253521127,486.6957746478873,21.480281690140846,21.480281690140846,2.088,0.7488,68,142,141.42857142857142,14,280,0.5436375,672.0,2.4,20.0,0.03883125,REORDENAR,True
MASS0137,lumpy,AA,0.97,1.0,390.2,272.53521126760563,117.66478873239436,18.169014084507044,18.169014084507044,1.34,3.013,106,142,141.42857142857142,8,240,1.040364,720.0,3.0,30.0,0.1300455,REORDENAR,True
MASS1904,lumpy,AA,0.97,60.0,1045.1,568.7054794520548,476.3945205479451,37.913698630136984,37.913698630136984,1.553,1.3907,47,73,71.85714285714286,10,500,0.62208,1450.0,2.9,50.0,0.062208,REORDENAR,True
MASS1230,erratic,AA,0.97,3.0,596.7914765018924,246.52816901408445,350.2633074878079,16.43521126760563,16.43521126760563,1.303,3.9431,109,142,141.28571428571428,268,268,13.4,996.96,3.72,1.0,0.05,REORDENAR,True
MASS1058,lumpy,AA,0.97,95.0,362.99999999999983,248.66197183098583,114.338028169014,16.57746478873239,16.57746478873239,1.379,3.8953,103,142,141.28571428571428,5,250,0.319815,295.0,1.18,50.0,0.063963,REORDENAR,True
MASS1315,lumpy,AA,0.97,2.0,409.9,267.306338028169,142.59366197183095,17.820422535211268,17.820422535211268,1.711,1.8673,83,142,141.14285714285714,3,300,0.15264,750.0,2.5,100.0,0.05088,REORDENAR,True
MASS1377,lumpy,AA,0.97,126.0,485.4399999999994,270.1056338028168,215.33436619718256,18.00704225352112,18.00704225352112,1.464,1.2339,97,142,141.28571428571428,24,240,2.309076,2256.0,9.4,10.0,0.0962115,REORDENAR,True
MASS0292,lumpy,AA,0.97,1.0,642.6999999999998,247.03521126760558,395.66478873239424,16.469014084507037,16.469014084507037,1.945,1.8338,73,142,141.28571428571428,11,220,0.55,858.0,3.9,20.0,0.05,REORDENAR,True
MASS0942,lumpy,AA,0.97,3.0,473.0,261.443661971831,211.55633802816902,17.429577464788732,17.429577464788732,1.495,1.3053,95,142,141.28571428571428,2,400,0.14714865,1880.0,4.7,200.0,0.073574325,REORDENAR,True
MASS0752,lumpy,AA,0.97,0.0,546.9999999999997,259.99119718309856,287.0088028169011,17.332746478873236,17.332746478873236,1.578,1.736,90,142,141.14285714285714,3,300,0.114939,480.0,1.6,100.0,0.038313,REORDENAR,True
MASS1525,erratic,AA,0.97,1.0,513.843945452224,295.68,218.16394545222408,19.712,19.712,1.238,1.4795,101,125,123.85714285714286,28,504,2.286592,1174.32,2.33,18.0,0.081664,REORDENAR,True
MASS1099,lumpy,AA,0.97,0.0,355.29999999999995,195.46478873239428,159.8352112676057,13.030985915492952,13.030985915492952,1.797,2.1345,79,142,141.28571428571428,4,200,0.331968,736.0,3.68,50.0,0.082992,REORDENAR,True
MASS0701,lumpy,AA,0.97,282.0,346.0,220.11111111111111,125.88888888888889,14.674074074074074,14.674074074074074,1.364,1.3153,99,135,134.71428571428572,2,312,0.26796,212.16000000000003,0.68,156.0,0.13398,REORDENAR,True
MASS1039,lumpy,AA,0.97,0.0,787.75,423.9554794520547,363.79452054794524,28.26369863013698,28.26369863013698,1.738,0.8018,42,73,71.85714285714286,19,380,0.9576,2964.0,7.8,20.0,0.0504,REORDENAR,True
MASS1361,lumpy,AA,0.97,1049.0,488.75,205.66901408450704,283.08098591549293,13.711267605633802,13.711267605633802,1.893,1.5418,75,142,141.28571428571428,0,0,0.0,0.0,0.5,70.0,0.05,OK,False
MASS0621,lumpy,AA,0.97,0.0,375.37,209.74647887323943,165.62352112676055,13.983098591549295,13.983098591549295,1.327,1.4947,107,142,141.14285714285714,5,200,0.25,628.0,3.14,40.0,0.05,REORDENAR,True
MASS0850,lumpy,AA,0.97,562.0,462.19999999999993,211.80851063829786,250.39148936170207,14.120567375886525,14.120567375886525,1.584,0.7569,89,141,140.28571428571428,0,0,0.0,0.0,4.5,100.0,0.058696,OK,False
